,year,title,authors,abstract,journal_title
103,2015,ПОЛЬСКИЕ ИСТОЧНИКИ ЛИЧНОГО ПРОИСХОЖДЕНИЯ К БИОГРАФИИ ДЕКАБРИСТА А. Н. МУРАВЬЕВА,Туманик Е. Н.,"Представлено исследование источников личного происхождения на польском языке, выявленных в процессе изучения биографии одного из виднейших декабристов, основателя первых тайных политических обществ в России Союза спасения и Союза благоденствия Александра Николаевича Муравьева. Речь идет о воспоминаниях А. Пауши, П. Мошиньского и Ю. Шембековой, ранее не востребованных исследователями. Мемуары содержат новые ценные сведения о сибирском периоде жизни декабриста, его мировоззрении, личности и взаимоотношениях с польскими товарищами по ссылке и освободительному движению.",Томский журнал лингвистических и антропологических исследований
104,2015,СЛАВЯНСКАЯ КНИГА: К ПРОБЛЕМЕ СОХРАНЕНИЯ И ТРАНСЛЯЦИИ КУЛЬТУРНОГО НАСЛЕДИЯ СЛАВЯН,Сазонова Наталия Ивановна,"Рассматриваются проблемы сохранения и трансляции славянского культурного наследия через традицию книжности. Анализируется роль устного и письменного дискурсов в славянской культуре, специфика восприятия письменного текста и проблемы трансляции культурной традиции через книгу. Делается вывод о необходимости учитывать специфику книжности, ее бытования и особенности восприятия при современных исследованиях славянской книги.",Томский журнал лингвистических и антропологических исследований
105,2015,КЛАСТЕРНАЯ СТРАТЕГИЯ РЕПРЕЗЕНТАЦИИ ИСТОРИКО-КУЛЬТУРНОГО НАСЛЕДИЯ РУССКИХ В КУЛЬТУРНОМ ПРОСТРАНСТВЕ БЕЛАРУСИ,Сапотько П. М.,"Рассматриваются возможности репрезентации наследия выходцев из России, внесших существенный вклад в развитие Беларуси, посредством кластерной стратегии в организации культурно-туристических программ. Сделан акцент на материальном и духовном наследии великих исторических деятелей П. А. Румянцева-Задунайского, З. Г. Чернышева, А. В. Суворова, И. Е. Репина и других, а также выдающихся представителей культуры XX и XXI вв.: композитора Николая Аладова, скульптора Андрея Бембеля, поэта Константина Симонова, писателя Александра Твардовского, балетмейстера Валентина Елизарьева и других.",Томский журнал лингвистических и антропологических исследований
106,2015,ФОЛЬКЛОР В КОНЦЕРТНО-СЦЕНИЧЕСКОЙ ПРАКТИКЕ БЕЛАРУСИ,Гурченко А. И.,"Анализируется специфика использования фольклора в концертно-сценической практике Беларуси. Данное самостоятельное художественное явление определено автором как исполнительский фольклоризм, который с момента становления до наших дней прошел пять периодов своего развития.",Томский журнал лингвистических и антропологических исследований
107,2015,НАРОДНО-ИНСТРУМЕНТАЛЬНАЯ МУЗЫКАЛЬНАЯ КУЛЬТУРА БЕЛАРУСИ КАК ФАКТОР СОХРАНЕНИЯ НАЦИОНАЛЬНОЙ ИДЕНТИЧНОСТИ,Толкач И. Ф.,"Рассматриваются особенности народно-инструментальной музыкальной культуры Беларуси. Представлены народные инструменты и инструментальные ансамбли, особенности композиторского творчества в области народно-инструментальной музыки. Внимание уделяется традиционной фольклорной и академической сценической практике белорусов.",Томский журнал лингвистических и антропологических исследований
108,2015,МЕТОДЫ ИНТЕРПРЕТАЦИИ КУЛЬТУРНОГО НАСЛЕДИЯ СЛАВЯН В ЭКСКУРСОВОДЧЕСКОЙ ПРАКТИКЕ ПЕРВОГО МУЗЕЯ СЛАВЯНСКОЙ МИФОЛОГИИ,"Павлова О. Г., Слюсарева Н. А.","Рассматривается проблема интерпретации культурного наследия славян в рамках экскурсоводческой деятельности Первого музея славянской мифологии. Анализируются интерактивные методы работы с экскурсантами, а также методы вовлечения в совместное действие, позволяющие включить личностный опыт человека в содержание экскурсионных программ. Конкретные приемы раскрывают условия, при которых посетителя музея возможно сделать сопричастным культурным традициям и ценностям своего народа.",Томский журнал лингвистических и антропологических исследований
109,2015,СОВЕТСКИЙ И ПОСТСОВЕТСКИЙ УЧЕБНИК ОТЕЧЕСТВЕННОЙ ИСТОРИИ В КОНТЕКСТЕ ПАТРИОТИЧЕСКОГО ВОСПИТАНИЯ: СРАВНИТЕЛЬНЫЙ АНАЛИЗ,"Романова Наталья Ивановна, Романова М. Э.","Приводятся результаты сравнительного анализа современных и советских учебников на предмет патриотической составляющей, что особенно актуально в настоящее время. Анализ современных учебников выявляет в них концептуальные расхождения, снять которые призвано создание единого стандарта учебника российской истории. К его обсуждению привлечено сегодня внимание научной и педагогической общественности. При создании нового учебника важно усилить компонент патриотического воспитания.",Томский журнал лингвистических и антропологических исследований
110,2015,СОЦИАЛЬНЫЕ СЕТИ ИНТЕРНЕТА И КУЛЬТУРНЫЙ ИМИДЖ СТРАНЫ,Рахманько П. В.,"В условиях высокой интенсивности мировых информационно-коммуникационных процессов в политике, экономике, обществе вопрос спланированного формирования, позицирования и трансляции имиджа Беларуси представляется особенно острым и своевременным. В настоящее время необходимым и актуальным представляется изучение социокультурного пространства социальных сетей Интернета, оказывающих влияние на формирование и развитие таких феноменов, как общественное сознание, социум, государство.",Томский журнал лингвистических и антропологических исследований
111,2015,"УДАРЕНИЕ В ПЕРВЫХ КНИГАХ НА СЕЛЬКУПСКОМ ЯЗЫКЕ, СОЗДАННЫХ Н. П. ГРИГОРОВСКИМ В XIX ВЕКЕ",Норманская Юлия Викторовна,"Рассматривается система ударения в первых монографиях на селькупском языке, созданных Н. П. Григоровским. Рассмотренный материал позволяет сделать следующие выводы: 1) селькупское ударение в XIX в. принципиально не отличалось от того, которое в XX в. было зафиксировано А. П. Дульзоном и его последователями; 2) Н. П. Григоровский, не будучи лингвистом, в XIX в. зафиксировал в своих книгах иванкинский селькупский диалект с большой точностью, не уступающей лингвистам XX в., поэтому его работы имеют большое значение для изучения истории селькупского языка и должны быть в дальнейшем всесторонне проанализированы.",Томский журнал лингвистических и антропологических исследований
112,2015,О ПРОЕКТЕ «ТИПОЛОГИЯ КАТЕГОРИИ ПОСЕССИВНОСТИ НА МАТЕРИАЛЕ ЯЗЫКОВ ОБСКО-ЕНИСЕЙСКОГО АРЕАЛА»,Потанина Ольга С.,"Все языки обско-енисейского языкового ареала (восточные диалекты хантыйского языка, южные диалекты селькупского языка, чулымско-тюркский, кетский) являются слабоизученными языками, находящимися под угрозой исчезновения. Исследования посессивности в указанных языках не являются полными: существующие научные работы не охватывают весь спектр типов и функций посессивных конструкций, встречающихся в данных языках. Имеются отдельные исследования категории посессивности на материале языков проекта, выполненные в типологической перспективе с учетом имеющихся типологических параметров для описания посессивности. В статье описывается содержание текущего научного проекта по описанию типологии посессивности в языках обско-енисейского ареала, который выполняется на кафедре языков народов Сибири Томского государственного педагогического университета при финансовой поддержке Российского гуманитарного научного фонда. Основной целью работ по проекту является создание типологического «портрета» данных языков и описание как атрибутивной, так и предикативной посессивности в структурно разных языках. Исследования способов выражения посессивности в языках проекта проводятся в общетипологической перспективе, с опорой на теорию грамматикализации, теорию информационной структуры предложений, с учетом прагматических факторов. Являясь универсальной понятийной категорией, посессивность не имеет универсальных способов выражения: языки проекта демонстрируют значительное разнообразие лексических, морфологических, синтаксических средств маркирования посессивных отношений. Кроме структурной вариативности посессивные конструкции обнаруживают многообразие своих функций и семантических отношений, которые включают отношения обладания, партитивные отношения, отношения родства, ассоциативные.",Томский журнал лингвистических и антропологических исследований
113,2015,КАТЕГОРИЯ ПРИНАДЛЕЖНОСТИ В ТЕЛЕУТСКОМ И ЧУЛЫМСКО-ТЮРКСКОМ ЯЗЫКАХ: ИМЕННЫЕ КОНСТРУКЦИИ,"Токмашев Денис Михайлович, Лемская Валерия Михайловна","Анализируются способы выражения посессивных отношений с помощью именных конструкций в телеутском и чулымско-тюркском языках. Посессивные отношения в рассматриваемых языках формируют ФСП, грамматическое ядро которого составляют изафетные конструкции третьего типа и сочетания притяжательных местоимений с существительными, маркированными аффиксами принадлежности. Это маркирование носит дискурсивный характер и является факультативным в 1-м и 2-м лице посессора, однако неотчуждаемая принадлежность выражается регулярным вершинным маркированием лично-притяжательной конструкции. Отмечается вне-изафетное и вне-посессивное употребление аффикса 3-го лица, предположительно связанное с артиклевой функцией данного аффикса.
На периферии ФСП посессивности находятся адъективные аффиксы *-lɨɣ и *-ɣɨ, которые выражают обладание предметом, качеством или признаком либо передают идею их концентрации, накопления.",Томский журнал лингвистических и антропологических исследований
114,2015,ТАКСОНОМИЯ ЯЗЫКОВЫХ СРЕДСТВ ВЫРАЖЕНИЯ ПОСЕССИВНОСТИ В СЕЛЬКУПСКОМ ЯЗЫКЕ,"Ким-Малони Александра Аркадьевна, Ковылин Сергей Васильевич","Рассматриваются возможности классификации конструкций с посессивными маркерами в селькупском языке в рамках таких оппозиций, как личная – безличная, приименная (местоименная и именная) – предикативная, отчуждаемая – неотчуждаемая, внутренняя – внешняя, прототипическая – не прототипическая. Из 46 примеров селькупских конструкций с посессивными маркерами некоторые демонстрируют не посессивное, а значение указательности, идентифицируемости или определенности. Употребление посессивных суффиксов с некоторыми группами существительных ведет к их грамматикализации.",Томский журнал лингвистических и антропологических исследований
115,2015,ПОСЕССИВНЫЕ КОНСТРУКЦИИ В ЮЖНО-СЕЛЬКУПСКИХ ДИАЛЕКТАХ,Будциш Й.,"Посессивные конструкции в южно-селькупских диалектах могут быть категоризированы на именные и предикативные. В именных посессивных конструкциях посессор может быть выражен как именем, так и местоимением, в обоих случаях конструкции характеризирются постпозицией вершины (обладаемого) по отношению к пос ессору. В местоименных конструкциях посессоры могут быть выражены как полным местоимением, лично-притяжательными аффиксами, так и комбинированным местоименно-аффиксальным способом. Как и в других самодийских языках лично-притяжательные аффиксы в южно-селькупских диалектах используются в других – непосессивных функциях. Предикативные посессивные конструкции по сути являются бытийными конструкциями. Так как в южно-селькупских диалектах отсутствует habeo-глагол, для выражения предикативной посессивности используются номинативные или локативные конструкции.",Томский журнал лингвистических и антропологических исследований
116,2015,СРЕДСТВА ВЫРАЖЕНИЯ ПОСЕССИВНЫХ ОТНОШЕНИЙ В ДИАЛЕКТАХ СЕЛЬКУПСКОГО ЯЗЫКА,Полякова Наталья Владимировна,"Представлен краткий обзор семасиологического и ономасиологического подходов к исследованию посессивности в отечественной и зарубежной лингвистике. Описаны морфологический, синтаксический и морфолого-синтаксический способы выражения категории посессивности в диалектах селькупского языка, а также личная и предметная принадлежность. Рассмотрено явление отторжимой/неотторжимой принадлежности в селькупском языке.",Томский журнал лингвистических и антропологических исследований
117,2015,ИМЕННЫЕ ПОСЕССИВНЫЕ КОНСТРУКЦИИ В КЕТСКОМ ЯЗЫКЕ,Крюкова Елена Александровна,"Представлен обзор трудов по кетскому языку, которые затрагивают проблемы категории посессивности. Основной целью данного исследования является апробация методологии для описания именных посессивных конструкций в кетском языке. Исследование проводится с использованием эмпирического метода, который позволяет описать язык в его реальном функционировании, метода количественного подсчета, который должен усилить доказательную базу и достоверность полученных результатов.",Томский журнал лингвистических и антропологических исследований
118,2015,ЛОКАЛЬНАЯ ТРАДИЦИЯ ПИТАНИЯ ВЫМСКИХ КОМИ,Чудова Татьяна Ивановна,"Представлено этнографическое описание народной пищи вымских коми, отражающее особенности субэтнического и религиозного характера. Экологическая среда и хозяйственная деятельность предопределили зерново-мясомолочный тип питания с сохранением доли промысловой продукции. Основу питания составляли крупяные похлебки и каши, что отразилось в собирательном названии еды «суп-каша». Богатством и разнообразием отличались хлебобулочные изделия. Мясомолочные и рыбные блюда не часто появлялись на столе, что было связано с практикой соблюдения христианских постов, число которых насчитывалось свыше 200 дней в году. Дикоросы обеспечивали витаминами, вносили разнообразие в рацион питания.",Томский журнал лингвистических и антропологических исследований
119,2015,ИСТОРИЯ ОДНОЙ КРЕСТЬЯНСКОЙ СЕМЬИ И СТАРООБРЯДЧЕСКИЕ РУКОПИСИ КОНЦА XX ВЕКА: ИЗ НЕДАВНИХ ПОСТУПЛЕНИЙ В НАУЧНУЮ БИБЛИОТЕКУ ТОМСКОГО УНИВЕРСИТЕТА,"Есипова В. А., Яковлев Я. А.","Рассмотрена история старообрядческой семьи, проживавшей на территории Алтая, а в 1930-х гг. сосланной в Томскую область. В 1980-х гг. одной из представительниц этой семьи – Е. А. Яковлевой – был написан ряд рукописей, в настоящее время хранящихся в отделе рукописей и книжных памятников Научной библиотеки Томского университета. Рукописи проанализированы с точки зрения их палеографической характеристики и содержания, приведено сравнение содержания рукописей Е. А. Яковлевой и других рукописей, хранящихся в ОРКП НБ ТГУ, в частности, в составе Скитской библиотеки и «раскольничьей» библиотеки Томской духовной семинарии. Сделан вывод о позднем (не ранее нач. XIX в.) формировании корпуса изучаемых текстов.",Томский журнал лингвистических и антропологических исследований
120,2015,МУКА И ХЛЕБ В КУЛЬТУРЕ СЕЛЬКУПОВ,Тучков Александр Геннадьевич,"На широком фактическом материале рассматривается вопрос о вхождении в культуру селькупов муки и хлеба в качестве продуктов питания. Проводится сравнительный кросскультурный анализ способов использования муки и изготовления хлеба: сведения от селькупов сравниваются с данными, собранными у народов, проживающих на сопредельных территориях – васюганских, ваховских, юганских хантов, северных (тазовских) селькупов, кетов, ненцев и других народов Западной Сибири. Результатом исследования стали следующие выводы: во-первых, широкое проникновение хлеба в культуру селькупов относится к периоду заселения Нарымского края русскими (XVII в.); во-вторых, появившийся как инновация хлеб со временем занял прочное место в системе их традиционной культуры – производственной, жизнеобеспечивающей, соционормативной.",Томский журнал лингвистических и антропологических исследований
121,2015,ГЕНОФОНД ЮЖНЫХ СЕЛЬКУПОВ В КОНТЕКСТЕ ИСТОРИЧЕСКИХ И АРХЕОЛОГИЧЕСКИХ ДАННЫХ,Волков Владимир Геннадьевич,"В настоящее время сделаны лишь первые шаги в изучении генофонда южных селькупов. Полученные в результате экспедиций данные по составу мужских линий южных селькупов позволяют разрешить некоторые проблемы этногенеза этого народа. В статье дается описание структуры генофонда южных селькупов по данным полиморфизма Y-хромосомы. Делается вывод о связи генетических линий с определенными территориями и этнографическими группами южных селькупов. Выявляется территория возникновения этих генетических линий, дается приблизительная датировка появления этих линий на территории Нарымского Приобья. Высказываются предположения о связях генетических линий с носителями определенных археологических культур. Делается вывод о присутствии большинства генетических линий на территории Нарымского Приобья уже в докулайскую эпоху.",Томский журнал лингвистических и антропологических исследований
122,2015,"ШТЕФАН ГЕОРГ. ОПИСАТЕЛЬНАЯ ГРАММАТИКА КЕТСКОГО ЯЗЫКА (ЯЗЫК ЕНИСЕЙСКИХ ОСТЯКОВ). ТОМ I. ВВЕДЕНИЕ, ФОНОЛОГИЯ, МОРФОЛОГИЯ (GLOBAL ORIENTAL, 2007, 468 Р.)",Вернер Г. К.,"«Описательная грамматика» Ш. Георга вышла в свет благодаря многолетней упорной работе по исследованию кетского языка. В своем труде автор представил новую концепцию по описанию кетской грамматики, которая выводит кетологию на новый современный научный уровень.
Исследование строится с учетом специальной литературы по кетскому языку в полном объеме и базируется на языковом материале, представленном в архиве Томского государственного педагогического университета в качестве картотеки по кетскому языку и полученном в ходе собственных полевых исследований в кетских населенных пунктах на Енисее (1999–2002 гг.).
Ш. Георг впервые представил всеобъемлющее и подробное описание кетской грамматики на английском языке, таким образом, результаты его работы доступны широкому кругу ученых во всем мире.",Томский журнал лингвистических и антропологических исследований
123,2016,ЯЗЫКОВАЯ БИОГРАФИЯ НЕМЦЕВ СИБИРИ,"Александров О. А., Александрова А. А.","Представлены некоторые результаты исследования метаязыковой рефлексии носителей немецких диалектов, проживающих в Томской области – одном из регионов Российской Федерации.
Материал исследования собран посредством реализации полевых практик в сельские районы Томской области, в которых значительную часть населения составляют немцы. Анализируются высказывания информантов о языке, моделируется пережитая ими история использования языков. Модель, основанная на «субъективных данных», дает представление о релевантных и нерелевантных для восприятия билингвальных немецких диалектоносителей явлениях языка. Она также предоставляет возможность проследить развитие языковой лояльности и языковых ассоциаций данной этнической группы в диахроническом аспекте.",Томский журнал лингвистических и антропологических исследований
124,2016,К ВОПРОСУ О ВАРИАТИВНОСТИ ИСПАНСКОГО ЯЗЫКА НА ТЕРРИТОРИИ МЕКСИКАНСКОГО ПОЛУОСТРОВА ЮКАТАН,Карпина Е. В.,"Затрагиваются основные вопросы, связанные с вариативностью языка на примере функционирования испанского языка на территории мексиканского полуострова Юкатан. Варьирование языка как процесс лингвистического изменения сам по себе очень непрост и подвержен влиянию множества факторов, часто друг от друга не зависящих. В каждой отдельной латиноамериканской стране формирование местных литературных норм испанского языка происходило по-разному. Испанский язык Мексики, в частности полуострова Юкатан, – одно из уникальных языковых образований не только потому, что это крупнейшая испаноязычная страна, но и потому, что это место, где органично сосуществуют стабильное общеиспанское ядро и диалектные особенности, обусловленные самобытностью мексиканской культуры.",Томский журнал лингвистических и антропологических исследований
125,2016,ЭКСТРАЛИНГВИСТИЧЕСКИЙ ДЕТЕРМИНИЗМ ПРИРОДЫ ПСЕВДОЗАИМСТВОВАНИЯ,Кобенко Юрий Викторович,"Предпринята попытка системного описания явления псевдозаимствования, характерного для современных литературных языков. В центре рассуждений находится экстралингвистический детерминизм данного явления, свойственный и обычным заимствованиям. Наиболее значимыми признаками псевдозаимствования выступают: вторичность по отношению к собственно заимствованию, образующему фундамент для дальнейшего функционирования иноязычного материала в языке-реципиенте; неизвестность и непонятность продуктов псевдозаимствования носителям самого языка-донора; манипуляторный характер образования псевдозаимствований, которые могут рассматриваться как продукты либо сознательной манипуляции носителями заимствованным морфологическим материалом, например, с целью эвфемизации, либо вынужденной, когда носители привлекают к словообразованию производящий морфемный материал языка-донора в силу его престижности. Преимущество предлагаемого подхода состоит в возможности холистической интерпретации природы псевдозаимствования с учетом тенденций социолингвистического и контактологического порядков.",Томский журнал лингвистических и антропологических исследований
126,2016,СРЕДСТВА ВЫРАЖЕНИЯ СУБЪЕКТА В ПРЕДЛОЖЕНИЯХ С ГЛАГОЛАМИ ПСИХИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ В ХАКАССКОМ ЯЗЫКЕ,Чертыкова Мария Дмитриевна,"Выявляются основные средства репрезентации субъекта в конструкциях с глаголами психической деятельности в хакасском языке, приводится их описание. Дается также смысловая характеристика субъектов при глаголах определенной семантики. Рассматриваются наиболее важные семантические роли субъекта в конструкциях с глаголами психической деятельности в хакасском языке. Наличие и названия этих ролей предопределяются спецификой парадигматики и синтагматики синтаксических конструкций, фиксируемых в рассматриваемом языке. Субъект интеллектуальной деятельности, эмоционального переживания, поведения, восприятия, говорения во всех этих случаях средствами хакасского языка характеризуется как одушевленное лицо, активный деятель, выразитель психического (антропологического) признака.
В хакасском языке имя, репрезентирующее субъекта, чаще всего выступает в форме именительного падежа (и часто это имя собственное): Чоохты алыстырарға кирек, – хабын салған Евсейка ‘Надо менять тему разговора, – спохватился Евсейка’. Хотя личные местоимения активно занимают позицию субъекта, но местоимения 1-го и 2-го лица, как единственного, так и множественного числа, имеют обыкновение выпадать из конструкции (лицо выражается в форме глагола). А местоимения 3-го лица часто используются в позиции субъекта во избежание повторяемости имени. Имя субъекта в хакасском языке может быть выражено также местным и направительным падежом. Оолахты школада матап хырысханнар ‘Мальчика сильно ругали в школе’. В обоих этих случаях существуют закономерности смыслового ограничения глаголов по выражаемому действию. Под субъектом, выраженным направительным падежом, могут подразумеваться организации, учреждения: Синi институтсар хығыртчалар ‘Тебя вызывают в институт’. Выводы о форме субъекта и особенностях синтаксических конструкций с именем субъекта при глаголах психической деятельности сформулированы в заключительной части статьи.",Томский журнал лингвистических и антропологических исследований
127,2016,О ТАБУ И ПОДСТАВНЫХ НАЗВАНИЯХ В ХАНТЫЙСКОМ И ХАКАССКОМ ЯЗЫКАХ,Каксин Андрей Данилович,"Проводится сопоставление между табу (и табуированными словами) в языках коренных народов Сибири. Для сравнения привлекается материал двух сибирских языков – хантыйского и хакасского. Это сопоставление свидетельствует об одинаковом подходе к отражению окружающей действительности, но различии в самих фрагментах лексических систем двух языков. Эта разница объясняется в основном тем, что данный фрагмент появился в языках народов, живших и живущих в разных географических условиях. Главная линия сравнения: «медвежий язык» и табуированные слова в составе хантыйского языка и «подставные слова» хакасского языка (функционирующие в основном в сфере лексики охотничьего промысла). При этом табу анализируется как запрет, связанный с магической функцией языка (речи), как явление, характерное для языков, сохраняющих лексику архаичной культуры. Из числа табуированных слов рассматриваются только те, что употребляются вместо синонимичных им слов или выражений, представляющихся неуместными на охоте и в разговоре об охоте, о поведении в «охотничьем ландшафте». В культуре ханты большое значение имеет культ медведя и комплекс мифов и обрядов, называемый «медвежий праздник» или «медвежьи игрища». Лексику, связанную с этим культом, мы и называем собственно табу. Но бывают в языках (в нашем случае – хантыйском и хакасском) и просто табуированные слова, или подставные названия, употребляемые вместо обычных слов лицами, причастными к сфере тайного, запретного, специфического (промысла).",Томский журнал лингвистических и антропологических исследований
128,2016,АЛТЫН тöс – ‘ЗОЛОТОЙ ФЕТИШ’ В МИФЕ И ОБРЯДНОСТИ ХАКАСОВ (КОНЕЦ XX – ВТОРАЯ ПОЛОВИНА XX В.),Бурнаков Венарий Алексеевич,"На основе архивных, музейных и литературных этнографических сведений рассматривается культ духов-покровителей у хакасов. Он нашел своё выражение в феномене фетишизма, в частности в виде ритуального изделия Алтын тöс. В религиозно-мифологическом сознании он воплощал собой образ духа погибшей старой девы, впоследствии ставшей влиятельным шаманским гением. В традиционном мышлении народа этот божок наделялся охранительными, покровительствующими, лечебными и иными свойствами. В связи с чем этот сакральный объект и воспринимался в качестве одной из ключевых семейных святынь. Среди верующих бытовала убежденность, что от его благосклонности в немалой степени зависит сохранность здоровья людей, благополучие их жизни и успех в хозяйственной деятельности. Отводимая ему сакральная роль в духовной жизни хакасов способствовала формированию особой системы обрядности. Она включала в себя как индивидуальные акты поклонения, так и общесемейные.",Томский журнал лингвистических и антропологических исследований
